environment: 
YAML: configs/bt.sc.c10.yaml
==> SEED: 42
==> num_classes: 10
==> data_name: cifar10
==> data_params: {'algo': 'bt-sc', 'data_dir': 'datasets/cifar10', 'batch_size': 512, 'num_workers': 3, 'image_size': 32}
==> return_logs: False
==> eval_every: 10
==> n_epochs: 800
==> n_epochs_mlp: 100
==> gpu_id: 2
==> opt: SGD
==> opt_params: {'lr': 0.4, 'momentum': 0.9, 'weight_decay': 0.0001}
==> schedular_params: {'T_max': 800, 'eta_min': 0.001}
==> mlp_opt: SGD
==> mlp_opt_params: {'lr': 0.1, 'momentum': 0.9}
==> energy_model_params: {'eta': 0.01, 'steps': 5, 'sigma': 0.2, 'delta': 0.1, 'net_type': 'score'}
==> energy_opt: AdamW
==> energy_model_opt_params: {'lr': 0.001}
==> warmup_epochs: 0
==> model_params: {'model_name': 'resnet18', 'pretrained': False, 'proj_dim': 4096, 'barlow_hidden': 4096}
==> mlp_type: linear
==> loss: bt-sc
==> loss_params: {'lambd': 0.005}
==> distributed: False
==> train_algo: bt-sc
==> model_save_path: saved_models/bt.sc.c10.r18.e800.pth
==> config: configs/bt.sc.c10.yaml
--------------------------------------------------
===> using linear mlp
using optimizer: SGD
using optimizer: SGD
loss function: bt-sc
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
# of Training Images: 50000
# of Testing Images: 10000
using optimizer: AdamW
### Barlow Twins with SC-net Training begins
[GPU2] epochs: [181/800] train_loss_con: 702.134 energy_loss: 201.162
[GPU2] epochs: [182/800] train_loss_con: 696.623 energy_loss: 200.611
[GPU2] epochs: [183/800] train_loss_con: 701.308 energy_loss: 200.294
[GPU2] epochs: [184/800] train_loss_con: 694.173 energy_loss: 199.845
[GPU2] epochs: [185/800] train_loss_con: 694.701 energy_loss: 199.836
[GPU2] epochs: [186/800] train_loss_con: 683.760 energy_loss: 199.184
[GPU2] epochs: [187/800] train_loss_con: 688.725 energy_loss: 199.134
[GPU2] epochs: [188/800] train_loss_con: 686.309 energy_loss: 198.667
[GPU2] epochs: [189/800] train_loss_con: 689.343 energy_loss: 198.584
[GPU2] epochs: [190/800] train_loss_con: 681.569 energy_loss: 197.838
[GPU2] epochs: [191/800] train_loss_con: 692.450 energy_loss: 197.732
[GPU2] epochs: [192/800] train_loss_con: 686.031 energy_loss: 196.871
[GPU2] epochs: [193/800] train_loss_con: 683.872 energy_loss: 196.748
[GPU2] epochs: [194/800] train_loss_con: 688.856 energy_loss: 196.359
[GPU2] epochs: [195/800] train_loss_con: 689.329 energy_loss: 196.399
[GPU2] epochs: [196/800] train_loss_con: 676.126 energy_loss: 195.355
[GPU2] epochs: [197/800] train_loss_con: 681.463 energy_loss: 195.984
[GPU2] epochs: [198/800] train_loss_con: 679.803 energy_loss: 195.360
[GPU2] epochs: [199/800] train_loss_con: 679.801 energy_loss: 195.327
[GPU2] epochs: [200/800] train_loss_con: 679.435 energy_loss: 195.408
[GPU2] epochs: [201/800] train_loss_con: 679.508 energy_loss: 195.091
[GPU2] epochs: [202/800] train_loss_con: 687.144 energy_loss: 194.323
[GPU2] epochs: [203/800] train_loss_con: 678.961 energy_loss: 193.649
[GPU2] epochs: [204/800] train_loss_con: 673.314 energy_loss: 193.479
[GPU2] epochs: [205/800] train_loss_con: 680.717 energy_loss: 193.752
[GPU2] epochs: [206/800] train_loss_con: 676.732 energy_loss: 193.747
[GPU2] epochs: [207/800] train_loss_con: 682.839 energy_loss: 193.087
[GPU2] epochs: [208/800] train_loss_con: 681.494 energy_loss: 193.101
[GPU2] epochs: [209/800] train_loss_con: 680.245 energy_loss: 192.667
[GPU2] epochs: [210/800] train_loss_con: 672.542 energy_loss: 192.123
[GPU2] epochs: [211/800] train_loss_con: 669.369 energy_loss: 192.098
[GPU2] epochs: [212/800] train_loss_con: 671.014 energy_loss: 191.771
[GPU2] epochs: [213/800] train_loss_con: 666.758 energy_loss: 191.213
[GPU2] epochs: [214/800] train_loss_con: 669.654 energy_loss: 191.336
[GPU2] epochs: [215/800] train_loss_con: 669.491 energy_loss: 190.377
[GPU2] epochs: [216/800] train_loss_con: 674.130 energy_loss: 190.477
[GPU2] epochs: [217/800] train_loss_con: 670.030 energy_loss: 190.174
[GPU2] epochs: [218/800] train_loss_con: 675.938 energy_loss: 190.108
